filepath,filename,size_bytes,status,error
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-23_164722_B.jpg,2026-04-23_164722_B.jpg,5908917,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-27_120000.jpg,2026-04-27_120000.jpg,153161,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-27_120000_B.jpg,2026-04-27_120000_B.jpg,109775,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000.jpg,2026-04-28_120000.jpg,96207,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_B.jpg,2026-04-28_120000_B.jpg,123774,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_C.jpg,2026-04-28_120000_C.jpg,141289,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_D.jpg,2026-04-28_120000_D.jpg,161986,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_E.jpg,2026-04-28_120000_E.jpg,128987,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_F.jpg,2026-04-28_120000_F.jpg,143757,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_G.jpg,2026-04-28_120000_G.jpg,138164,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-28_120000_H.jpg,2026-04-28_120000_H.jpg,169683,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-29_120000.jpg,2026-04-29_120000.jpg,152518,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-29_120000_B.jpg,2026-04-29_120000_B.jpg,157881,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-29_120000_C.jpg,2026-04-29_120000_C.jpg,86307,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-29_120000_D.jpg,2026-04-29_120000_D.jpg,74641,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-29_120000_E.jpg,2026-04-29_120000_E.jpg,158799,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-30_120000.jpg,2026-04-30_120000.jpg,78830,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-30_120000_B.jpg,2026-04-30_120000_B.jpg,203715,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-30_120000_C.jpg,2026-04-30_120000_C.jpg,196571,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/04-Abril/2026-04-30_120000_D.jpg,2026-04-30_120000_D.jpg,193184,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-01_120000.jpg,2026-03-01_120000.jpg,126325,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-01_120000_B.jpg,2026-03-01_120000_B.jpg,121066,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-04_120000.jpg,2026-03-04_120000.jpg,160036,subido,
